date,mean,median,std,iqr,count,std_lo,std_hi,std_se
2018-05-21,0.33547700617219245,0.42657952456147763,0.4209577707937759,0.6153022353653702,462,0.3957959088907841,0.4446946942079513,0.012646247445980132
2018-06-19,0.3327329425470004,0.4207632983452825,0.42125513956856486,0.6138201845361282,462,0.3946981453391029,0.4458450539536435,0.01265040311522548
2018-07-18,0.33261983855587407,0.4112863711163896,0.42002266971528385,0.6247985219491804,462,0.3932617984386326,0.44492644973531037,0.012673770164402893
2018-08-15,0.3308345482622997,0.42083429965190494,0.4187922032402846,0.6227879572021932,463,0.3917872760248333,0.4429221060188289,0.012722583972361569
2018-09-13,0.32678680697473106,0.4132626920225593,0.4202147771467638,0.617875839435557,463,0.3933776092026323,0.4438625441732797,0.012762733494255007
2018-10-11,0.32162867783659554,0.40366404447295695,0.42319685480409086,0.6339656551775673,463,0.39697256087889543,0.4473869398455805,0.012859009500809801
2018-11-08,0.32101236974917513,0.4123740215091618,0.4295308895968464,0.6509181107073199,463,0.4023887654849675,0.45448263791236937,0.013153730737602494
2018-12-10,0.3192234578783059,0.4077322993183515,0.43614278906978077,0.6471327283248715,463,0.4083330191355085,0.4616787755123941,0.013212886277378301
2019-01-09,0.31570214802094276,0.39287362122479536,0.4338026374048221,0.6217584049614617,463,0.4051073934848745,0.45874058584770244,0.01312465631847727
2019-02-07,0.31480222822593873,0.3947146169529018,0.4335663156033564,0.6149131128436812,463,0.4060767547462053,0.4577861672344035,0.012955952320776684
2019-03-08,0.31133738782964865,0.3986748913811555,0.43361222627662865,0.6342836000425851,464,0.40681547152845465,0.45693661944680114,0.012592712227854588
2019-04-05,0.3097210371346832,0.40601808047619914,0.438507744784047,0.6365350700214475,464,0.41083857208968444,0.4603735980754664,0.012529161407281358
2019-05-06,0.2733883842494518,0.3633813701302908,0.40065300651923874,0.5933342456412404,464,0.37602974331228534,0.4199969322604516,0.01176323771462758
2019-06-04,0.41171911198545885,0.4781766842056726,0.32616445382061715,0.44794363979151874,464,0.30284517774269554,0.3461263437766594,0.011066195543943365
2019-07-02,0.47167734010913387,0.5521409277349816,0.3232378969754295,0.46511506745909614,464,0.3000767098416521,0.34517240882840877,0.011420788144274135
2019-07-31,0.5218616403496525,0.6102842069107082,0.3219453458305409,0.45682163434294715,464,0.29790079098837075,0.34573348350019667,0.01214172537980041
2019-08-28,0.5678967207924367,0.6683887072135839,0.3242923771689069,0.44455413409565525,464,0.29741344583326934,0.3496787111587748,0.013372391852521278
2019-09-26,0.595803971631097,0.7013394523697417,0.33106728053907825,0.4127642252208028,464,0.30317231226550484,0.35692858565192637,0.014170391446182519
2019-10-24,0.610425564891223,0.7208868005068734,0.3427411509469956,0.38918653379470936,464,0.3116407260045404,0.3697509804020129,0.015380193538544243
2019-11-21,0.6320517327527179,0.7633368090820815,0.35123140406692366,0.3494436662374799,464,0.3169984292472865,0.38162453572527083,0.016838309795108572
2019-12-20,0.6465907184914971,0.7844054531600693,0.36026213236688165,0.3243628864417011,464,0.3233399071502627,0.39400379869806645,0.018051219319361697
2020-01-22,0.6524989118325621,0.8015868239835189,0.3747111696216242,0.30850258729769353,464,0.33520984006185417,0.4113179559087009,0.019075745332585898
2020-02-20,0.6625289703805448,0.8187867407662405,0.3840815750408333,0.3252752732093235,464,0.34376870056140607,0.4235269723631374,0.019989351096427157
2020-03-19,0.6525583281975262,0.8159588812227401,0.39900187162958245,0.3416701998762989,464,0.3591479290986139,0.43956460044688134,0.020247001025863152
2020-04-17,0.6539511693290186,0.8199879468284087,0.409539702009846,0.32832574074662246,464,0.36769502347584193,0.4516927891207792,0.02076908654510382
2020-05-15,0.6496894662557573,0.8253104018114377,0.4190446567806419,0.37705171577389196,464,0.377483736073516,0.46062707471340725,0.020663758923552312
2020-06-15,0.6489911102617257,0.8337982114169393,0.42169834955525654,0.3808908954922223,464,0.3800953594931388,0.4630840968236554,0.02061463981903828
2020-07-14,0.6513992076762855,0.8374406347311849,0.4216712543182635,0.3758857998845996,464,0.38081287388005686,0.46288738037897503,0.02067229780526752
2020-08-11,0.6542650417167726,0.8413316652339178,0.42104791372397404,0.35623777873929563,464,0.3803241626427987,0.46207690314,0.020689766443069482
2020-09-09,0.6518083485462828,0.8403855071461348,0.42290145746576346,0.3454825864355233,464,0.3822357303806625,0.46380611285505885,0.020482460968599778
2020-10-07,0.6518745462044275,0.8446979992107454,0.42611294951832834,0.3393910698844841,464,0.38555222535147143,0.46520205693749467,0.02041902915946798
2020-11-04,0.6487304179015315,0.8445954150416333,0.4263165941443933,0.3621066807140009,464,0.3866103660211378,0.4648806929599617,0.020095810753779846
2020-12-03,0.6468348781528551,0.8433835258497395,0.42513643894179587,0.3841321515127565,464,0.3864757398621449,0.46292963953368405,0.019821613052042632
2021-01-04,0.6495733904360037,0.8466282641776832,0.4202279383565673,0.3815961161012553,464,0.3827030404675868,0.4589749835562159,0.01975981304311732
2021-02-02,0.6428216661102113,0.8312320737595915,0.4136338946946031,0.4055945630907051,464,0.37730724428368456,0.45134303569812906,0.019228033582421433
2021-03-03,0.6414684609774113,0.8137585883775962,0.39500977995168407,0.38802416633025527,464,0.36020847991463967,0.43245615403357696,0.018500815219498874
2021-03-31,0.6321431079349484,0.801474710740233,0.38172985779355556,0.4020719648834312,464,0.3486534572858177,0.41768757628976677,0.017703742159111222
2021-04-29,0.641803026870254,0.7733093563628128,0.35176243309294675,0.36731320570133663,464,0.3201438323589712,0.3856062367588487,0.017266694379008816
2021-05-27,0.6431745343951115,0.7632594516525191,0.33475422435713914,0.3715559728208161,464,0.3035403870990349,0.3688176028410898,0.01664206568148949
2021-06-25,0.6439179800003533,0.7704390933487508,0.3320026844041025,0.3594785065446927,464,0.2982028020195271,0.36413491198445325,0.016698570426144067
2021-07-26,0.6433037574376708,0.7757331187953412,0.3413560272232266,0.3791761958684553,464,0.30845041117121813,0.37247847659537914,0.017262991231669127
2021-08-23,0.6415888910131377,0.7931952302259556,0.36317006223173803,0.378888242496647,464,0.3271657258305912,0.39487426147195437,0.018201505126249372
