date,mean,median,std,iqr,count,std_lo,std_hi,std_se
2018-05-21,0.4306529315690649,0.535422248838257,0.38085546050065394,0.4358076612693307,51,0.2898712365801877,0.45936480111912653,0.04335506062261281
2018-06-19,0.4256648507108441,0.5252921103499791,0.38575208031094993,0.4348403765239054,51,0.29199115671032755,0.4647441429200744,0.045179953789539394
2018-07-18,0.42461656645302115,0.5151103490356089,0.39549682400540376,0.49153116749802983,51,0.290356463026391,0.47499794642231247,0.04728889914900148
2018-08-15,0.41495115567134694,0.5232703209282809,0.41212919432113826,0.4865058663017266,51,0.3028511110401627,0.49381909215767933,0.04904016772906517
2018-09-13,0.4090741497672213,0.49540495872306706,0.41614986007421245,0.5066965190109058,51,0.3020802703464448,0.4994260083383715,0.04978381174062111
2018-10-11,0.38785213089859893,0.45003539834206874,0.42661437549117553,0.5090360045220526,51,0.31611585997318065,0.5083676212528278,0.0494422186466279
2018-11-08,0.3741706720032459,0.4142047365546593,0.4364959135138563,0.53458476588,51,0.3232371702597243,0.5186273992098028,0.05015463657889235
2018-12-10,0.36559526372440276,0.42984182226297885,0.4480578312881868,0.580845268293136,51,0.33712876558490595,0.5299449623728529,0.048997176622651024
2019-01-09,0.3546390034908398,0.43419038165044144,0.44503516158357004,0.5855243794831786,51,0.3365087070046569,0.5260375233864172,0.04895792176215843
2019-02-07,0.3490526014030812,0.40065730661904897,0.44198506713892916,0.6016029499891958,51,0.33784046313487054,0.5206668336197388,0.04690997629708193
2019-03-08,0.35266296760174015,0.3576612420340497,0.4244576611738708,0.6004558220434772,51,0.32462237262536286,0.5013389096950874,0.04426175037805239
2019-04-05,0.3531462060761189,0.4158489352502339,0.41607976244021677,0.6023457535782742,51,0.32524176335818206,0.4903997201866229,0.04178392431789885
2019-05-06,0.3166194381174687,0.33732384863673326,0.37928198050344764,0.5059976124128115,51,0.30182888177264816,0.4486330644699458,0.03803099964106126
2019-06-04,0.5051320757049578,0.5149424549599598,0.32390329664602047,0.3033906175917519,51,0.23509805672470252,0.39688305499529775,0.04166294265160888
2019-07-02,0.5728443564659498,0.6459540969298494,0.3150121415418484,0.2636453054142117,51,0.2236177052005516,0.3955819995958828,0.04343663460355239
2019-07-31,0.6272024892755866,0.7237209592657954,0.2996085083775836,0.3179490441259226,51,0.20937532501606967,0.3699257551254299,0.04036368594385946
