date,vix,log_vix,spy_rv,hyg_rv,ps_innov,ps_illiq
2018-05-21,13.079999923706055,2.5710843401961823,0.1047193197166321,0.03173570611772769,-0.01196645,0.01196645
2018-06-19,13.350000381469727,2.5915164134207695,0.09297907311958993,0.028421019199172774,0.08527741,-0.08527741
2018-07-18,12.100000381469727,2.4932054841291187,0.09717284417996164,0.031342896507788806,0.12575545,-0.12575545
2018-08-15,14.640000343322754,2.683757531984173,0.07578740360948864,0.022282170677541176,-0.02265213,0.02265213
2018-09-13,12.369999885559082,2.5152741771529077,0.06478379841556914,0.029847349652285644,0.04554729,-0.04554729
2018-10-11,24.979999542236328,3.2180754863722245,0.14558472848273435,0.03674423973387838,0.05793964,-0.05793964
2018-11-08,16.719999313354492,2.8166055665892396,0.2258521240722971,0.045845574990077874,-0.03131035,0.03131035
2018-12-10,22.639999389648438,3.1197182263759906,0.21815794734844066,0.06069698833658206,0.0411714,-0.0411714
2019-01-09,19.979999542236328,2.9947317503093127,0.2985148955480923,0.11522267514758912,-0.03937019,0.03937019
2019-02-07,16.3700008392334,2.7954504426495905,0.11884040957572872,0.05525969443546499,-0.02978301,0.02978301
2019-03-08,16.049999237060547,2.7757088020408553,0.08818259467757698,0.028987605595105728,0.15376443,-0.15376443
2019-04-05,12.819999694824219,2.551006427687861,0.11194053503605671,0.03414472600236095,-0.00490047,0.00490047
2019-05-06,15.4399995803833,2.7369615174193824,0.06956900866571644,0.03911167834547432,0.05791674,-0.05791674
2019-06-04,16.969999313354492,2.8314470387838178,0.16663379925707167,0.06654726590981316,-0.02062196,0.02062196
2019-07-02,12.930000305175781,2.5595502163859143,0.1071065442335739,0.05632750755743936,-0.06410421,0.06410421
2019-07-31,16.1200008392334,2.780060789140106,0.08156974562985977,0.033830055113850274,0.07291149,-0.07291149
2019-08-28,19.350000381469727,2.9626924391899885,0.23466511927500966,0.07189120698315345,0.07291149,-0.07291149
2019-09-26,16.06999969482422,2.7769541607590176,0.09698325886379168,0.03614892384621336,0.02215737,-0.02215737
2019-10-24,13.710000038146973,2.6181254963566425,0.13562676037658106,0.04211243258524142,-0.02237908,0.02237908
2019-11-21,13.130000114440918,2.5748996970306925,0.05174095723656572,0.025462767984952783,0.00200058,-0.00200058
2019-12-20,12.510000228881836,2.52652834277473,0.0759158493828965,0.0364549561068829,0.03869783,-0.03869783
